District,Year,Month,Avg_Temp,Avg_Feelslike,Avg_Dew,Avg_Humidity,Avg_Precipitation,Avg_Precipitation_Probability,Avg_Precipitation_Coverage,Avg_Snowfall,Avg_Snow_Depth,Avg_Wind_Gust,Avg_Wind_Speed,Avg_Wind_Direction,Avg_Pressure,Avg_Cloud_Cover,Avg_Visibility,Avg_Solar_Radiation,Avg_Solar_Energy,Avg_UV_Index,Cases
amritsar,2017,1,12.06,12.02,9.94,89.25,1.58,35.48,3.09,0.0,0.0,13.36,10.3,213.67,1018.3,44.75,1.53,123.93,10.71,4.9,0
amritsar,2017,2,15.71,15.71,11.33,79.24,0.17,14.29,0.6,0.0,0.0,16.3,10.07,262.11,1016.21,32.09,2.1,184.89,15.96,6.75,1
amritsar,2017,3,19.48,19.55,13.34,72.35,0.76,16.13,1.21,0.0,0.0,16.51,10.11,278.16,1012.0,36.31,2.7,228.14,19.7,7.94,0
amritsar,2017,4,27.46,26.9,12.03,44.37,1.36,26.67,2.22,0.0,0.0,23.83,15.94,232.93,1006.1,23.02,2.9,281.57,24.3,9.27,0
amritsar,2017,5,31.54,31.49,14.6,39.57,0.68,19.35,1.21,0.0,0.0,24.04,14.11,187.23,1003.64,30.68,2.52,282.74,24.42,9.03,0
amritsar,2017,6,31.03,33.97,21.26,62.28,6.32,56.67,5.14,0.0,0.0,21.36,17.69,192.37,1000.01,35.4,2.65,261.19,22.62,8.17,0
amritsar,2017,7,30.6,41.91,28.21,88.33,9.5,77.42,6.05,0.0,0.0,18.61,11.26,124.94,999.63,49.78,2.5,218.08,18.83,7.39,5
amritsar,2017,8,29.9,39.96,27.94,90.26,3.49,51.61,3.23,0.0,0.0,16.76,10.2,153.86,1001.15,48.87,2.68,208.29,17.96,7.16,3
amritsar,2017,9,28.42,32.59,24.9,83.49,0.53,23.33,1.67,0.0,0.0,15.85,8.67,234.01,1005.71,36.36,2.77,224.57,19.38,7.73,4
amritsar,2017,10,25.32,26.43,19.85,75.29,0.0,3.23,0.13,0.0,0.0,12.05,6.57,214.8,1009.56,0.75,2.03,207.81,17.91,7.42,6
amritsar,2017,11,16.79,16.79,12.58,79.88,0.11,10.0,0.69,0.0,0.0,11.96,6.25,237.51,1015.28,17.53,1.13,155.02,13.38,5.87,5
amritsar,2017,12,13.17,13.16,8.06,75.85,0.42,6.45,0.81,0.0,0.0,12.15,7.29,273.38,1018.02,32.58,1.49,137.49,11.91,5.52,2
amritsar,2018,1,11.6,11.56,7.59,80.59,0.19,3.23,0.4,0.0,0.0,12.4,7.18,227.06,1015.58,31.9,1.26,149.45,12.83,5.9,1
amritsar,2018,2,15.48,15.45,10.19,74.6,0.72,10.71,1.49,0.0,0.0,14.48,9.61,267.26,1015.71,35.1,2.19,189.4,16.35,6.96,1
amritsar,2018,3,21.14,21.03,13.92,68.46,0.09,19.35,1.61,0.0,0.0,16.41,11.2,233.41,1011.33,28.88,2.47,235.75,20.39,8.13,1
amritsar,2018,4,26.85,26.77,15.7,56.34,0.89,26.67,1.67,0.0,0.0,19.39,12.59,177.53,1007.52,28.03,2.66,273.35,23.61,9.2,1
amritsar,2018,5,31.62,31.24,13.53,37.66,0.21,41.94,3.36,0.0,0.0,20.43,15.05,215.1,1003.71,32.25,2.56,294.04,25.42,9.48,1
amritsar,2018,6,32.08,34.48,20.56,55.0,4.19,46.67,3.61,0.0,0.0,22.26,15.17,178.55,998.19,35.36,2.29,266.54,23.07,8.27,1
amritsar,2018,7,30.25,36.26,24.89,74.61,7.06,74.19,5.51,0.0,0.0,15.61,10.84,145.68,997.73,52.45,2.25,218.82,18.9,7.39,2
amritsar,2018,8,30.13,36.37,25.26,76.39,2.71,48.39,3.36,0.0,0.0,15.64,8.65,152.09,999.42,56.8,2.31,205.84,17.75,7.16,2
amritsar,2018,9,27.67,30.32,22.5,75.2,10.07,46.67,3.89,0.0,0.0,15.88,9.85,180.04,1006.21,43.32,2.45,202.64,17.52,7.2,2
amritsar,2018,10,23.31,23.55,17.15,70.97,0.68,6.45,0.27,0.0,0.0,14.52,7.65,214.48,1012.98,9.05,2.17,205.04,17.69,7.39,2
amritsar,2018,11,17.83,17.83,11.85,71.38,0.2,6.67,0.42,0.0,0.0,14.06,7.87,205.55,1015.77,30.97,1.87,157.25,13.58,6.03,2
