District,Month,2017,2018,2019,2020
amritsar,1,0,1,1,0
amritsar,2,1,1,0,0
amritsar,3,0,1,0,0
amritsar,4,0,1,0,0
amritsar,5,0,1,0,0
amritsar,6,0,1,0,0
amritsar,7,5,2,1,0
amritsar,8,3,2,1,0
amritsar,9,4,2,1,1
amritsar,10,6,2,0,0
amritsar,11,5,2,0,0
amritsar,12,2,0,0,0
barnala,1,0,0,0,0
barnala,2,0,0,0,0
barnala,3,1,0,0,0
barnala,4,0,0,0,0
barnala,5,0,0,0,0
barnala,6,0,0,0,0
barnala,7,1,1,2,0
barnala,8,1,0,2,0
barnala,9,1,0,1,0
barnala,10,1,0,1,0
barnala,11,1,0,0,0
barnala,12,1,0,0,0
bathinda,1,3,4,8,1
bathinda,2,4,3,7,1
bathinda,3,1,4,8,1
bathinda,4,0,4,8,1
bathinda,5,2,4,7,1
bathinda,6,5,4,26,2
bathinda,7,8,10,52,2
bathinda,8,7,7,31,1
bathinda,9,6,5,12,1
bathinda,10,8,5,6,1
bathinda,11,9,4,6,1
bathinda,12,2,0,0,0
faridkot,1,1,2,4,0
faridkot,2,0,1,3,0
faridkot,3,0,1,4,0
faridkot,4,1,1,4,0
faridkot,5,0,1,3,0
faridkot,6,2,1,6,1
faridkot,7,3,6,8,1
faridkot,8,3,3,5,0
faridkot,9,1,2,1,1
faridkot,10,2,1,1,0
faridkot,11,2,0,1,0
faridkot,12,1,0,0,0
fatehgarhsahib,1,0,1,1,0
fatehgarhsahib,2,0,0,0,0
fatehgarhsahib,3,0,0,0,0
fatehgarhsahib,4,0,0,0,0
fatehgarhsahib,5,0,0,0,0
fatehgarhsahib,6,1,1,1,0
fatehgarhsahib,7,1,2,3,1
fatehgarhsahib,8,1,0,3,0
fatehgarhsahib,9,1,1,2,1
fatehgarhsahib,10,1,0,1,0
fatehgarhsahib,11,0,0,1,0
fatehgarhsahib,12,0,0,0,0
fazilka,1,0,1,1,1
fazilka,2,0,0,0,1
fazilka,3,0,0,0,1
fazilka,4,1,0,0,1
fazilka,5,0,0,0,0
fazilka,6,1,1,1,1
fazilka,7,1,3,11,1
fazilka,8,1,2,6,1
fazilka,9,1,1,4,0
fazilka,10,2,1,3,1
fazilka,11,1,0,2,0
fazilka,12,1,1,0,0
ferozepur,1,0,1,1,0
ferozepur,2,1,1,1,0
ferozepur,3,0,1,1,0
ferozepur,4,2,1,1,0
ferozepur,5,0,0,1,0
ferozepur,6,2,2,2,0
ferozepur,7,3,4,1,0
ferozepur,8,4,1,0,0
ferozepur,9,3,2,1,0
ferozepur,10,3,1,0,0
ferozepur,11,1,1,1,0
ferozepur,12,0,0,0,0
gurdaspur,1,0,1,2,0
gurdaspur,2,0,0,2,0
gurdaspur,3,0,1,2,0
gurdaspur,4,0,2,2,0
gurdaspur,5,0,1,2,0
gurdaspur,6,2,1,2,1
gurdaspur,7,3,2,7,1
gurdaspur,8,1,1,3,0
gurdaspur,9,1,2,3,1
gurdaspur,10,2,1,1,0
gurdaspur,11,1,1,1,0
gurdaspur,12,2,0,0,0
hoshiarpur,1,17,8,14,3
hoshiarpur,2,13,7,12,3
hoshiarpur,3,8,8,14,3
hoshiarpur,4,12,8,14,3
hoshiarpur,5,5,7,12,3
hoshiarpur,6,6,10,38,6
hoshiarpur,7,13,26,80,6
hoshiarpur,8,10,24,73,6
hoshiarpur,9,17,12,39,4
hoshiarpur,10,19,12,28,4
hoshiarpur,11,17,10,16,4
hoshiarpur,12,17,0,1,0
jalandhar,1,3,1,1,0
jalandhar,2,4,1,0,0
jalandhar,3,0,1,0,0
jalandhar,4,3,1,0,0
jalandhar,5,3,1,0,0
jalandhar,6,6,1,1,1
jalandhar,7,6,5,2,1
jalandhar,8,6,2,2,0
jalandhar,9,6,2,1,0
jalandhar,10,6,1,0,0
jalandhar,11,6,0,0,0
jalandhar,12,7,1,0,0
kapurthala,1,0,0,0,0
kapurthala,2,0,0,0,0
kapurthala,3,0,0,0,0
kapurthala,4,0,0,0,0
kapurthala,5,0,0,0,0
kapurthala,6,0,0,0,0
kapurthala,7,1,1,1,0
kapurthala,8,2,0,0,0
kapurthala,9,2,0,1,0
kapurthala,10,2,0,0,0
kapurthala,11,1,0,0,0
kapurthala,12,0,0,0,0
ludhiana,1,2,4,2,1
ludhiana,2,2,3,1,1
ludhiana,3,2,3,1,1
ludhiana,4,2,3,1,1
ludhiana,5,2,4,1,1
ludhiana,6,2,4,2,2
ludhiana,7,5,11,6,3
ludhiana,8,6,5,5,1
ludhiana,9,4,4,3,1
ludhiana,10,4,2,3,1
ludhiana,11,2,2,1,1
ludhiana,12,2,1,0,0
mansa,1,9,12,18,4
mansa,2,5,8,12,4
mansa,3,20,10,15,4
mansa,4,15,10,15,4
mansa,5,12,10,12,4
mansa,6,20,14,34,5
mansa,7,15,32,76,2
mansa,8,16,18,50,2
mansa,9,10,8,26,1
mansa,10,10,5,20,0
mansa,11,10,3,18,0
mansa,12,10,1,4,1
moga,1,0,0,0,0
moga,2,0,0,0,0
moga,3,0,0,0,0
moga,4,0,0,0,0
moga,5,0,0,0,0
moga,6,2,0,0,1
moga,7,1,1,1,0
moga,8,1,0,1,0
moga,9,1,0,1,0
moga,10,0,0,0,0
moga,11,0,0,0,0
moga,12,0,0,0,0
pathankot,1,0,0,0,0
pathankot,2,0,0,0,0
pathankot,3,0,0,0,0
pathankot,4,0,0,0,0
pathankot,5,0,0,0,0
pathankot,6,1,0,0,0
pathankot,7,1,3,2,0
pathankot,8,0,0,2,0
pathankot,9,1,1,2,1
pathankot,10,0,0,0,0
pathankot,11,0,0,1,0
pathankot,12,0,1,0,0
patiala,1,2,3,4,0
patiala,2,2,2,3,0
patiala,3,2,2,3,0
patiala,4,2,2,3,0
patiala,5,2,2,3,0
patiala,6,2,3,4,0
patiala,7,2,6,6,0
patiala,8,2,3,3,1
patiala,9,3,2,1,1
patiala,10,4,2,1,0
patiala,11,6,0,0,0
patiala,12,2,0,0,0
rupnagar,1,0,0,2,0
rupnagar,2,0,0,1,0
rupnagar,3,0,0,1,0
rupnagar,4,0,0,1,0
rupnagar,5,0,0,1,0
rupnagar,6,2,0,2,0
rupnagar,7,2,1,1,0
rupnagar,8,2,0,0,1
rupnagar,9,3,1,0,1
rupnagar,10,0,0,1,0
rupnagar,11,0,0,0,0
rupnagar,12,0,0,0,0
sahibzadaajitsinghnagar(mohali),1,5,8,8,2
sahibzadaajitsinghnagar(mohali),2,6,7,7,2
sahibzadaajitsinghnagar(mohali),3,8,7,7,2
sahibzadaajitsinghnagar(mohali),4,4,7,7,2
sahibzadaajitsinghnagar(mohali),5,10,7,7,2
sahibzadaajitsinghnagar(mohali),6,15,12,22,6
sahibzadaajitsinghnagar(mohali),7,16,22,41,3
sahibzadaajitsinghnagar(mohali),8,18,16,36,1
sahibzadaajitsinghnagar(mohali),9,16,5,15,0
sahibzadaajitsinghnagar(mohali),10,10,3,7,1
sahibzadaajitsinghnagar(mohali),11,10,1,5,0
sahibzadaajitsinghnagar(mohali),12,10,0,0,0
nawanshahr(shahidbhagatsinghnagar),1,0,0,1,0
nawanshahr(shahidbhagatsinghnagar),2,0,0,0,0
nawanshahr(shahidbhagatsinghnagar),3,0,0,0,0
nawanshahr(shahidbhagatsinghnagar),4,0,0,0,0
nawanshahr(shahidbhagatsinghnagar),5,1,0,0,0
nawanshahr(shahidbhagatsinghnagar),6,0,0,1,0
nawanshahr(shahidbhagatsinghnagar),7,0,2,4,0
nawanshahr(shahidbhagatsinghnagar),8,0,0,2,0
nawanshahr(shahidbhagatsinghnagar),9,0,0,1,0
nawanshahr(shahidbhagatsinghnagar),10,0,2,1,0
nawanshahr(shahidbhagatsinghnagar),11,0,0,0,0
nawanshahr(shahidbhagatsinghnagar),12,0,0,0,0
sangrur,1,0,1,1,1
sangrur,2,0,1,0,1
sangrur,3,0,1,0,1
sangrur,4,0,1,0,1
sangrur,5,0,1,0,0
sangrur,6,0,1,1,0
sangrur,7,1,4,2,1
sangrur,8,1,3,2,0
sangrur,9,1,2,1,0
sangrur,10,3,1,0,0
sangrur,11,0,0,0,0
sangrur,12,0,0,0,0
shrmukatsarsahib,1,0,3,4,1
shrmukatsarsahib,2,2,2,3,1
shrmukatsarsahib,3,2,2,4,1
shrmukatsarsahib,4,3,3,4,1
shrmukatsarsahib,5,4,3,3,1
shrmukatsarsahib,6,4,4,8,1
shrmukatsarsahib,7,8,9,8,0
shrmukatsarsahib,8,9,3,2,0
shrmukatsarsahib,9,6,2,1,0
shrmukatsarsahib,10,7,1,1,0
shrmukatsarsahib,11,0,0,2,0
shrmukatsarsahib,12,0,1,0,0
tarntaran,1,0,1,1,0
tarntaran,2,0,1,1,0
tarntaran,3,0,1,1,0
tarntaran,4,0,1,1,0
tarntaran,5,1,1,1,0
tarntaran,6,1,1,1,0
tarntaran,7,1,4,0,1
tarntaran,8,2,2,0,0
tarntaran,9,4,1,0,0
tarntaran,10,6,0,0,0
tarntaran,11,0,0,0,0
tarntaran,12,0,0,0,0
